Name,OS,RAM,Storage,Rating,Price,NormalizedSpecs
ASUS Vivobook 15 Intel Core i7 13th Gen 13620H -,Windows 11 Home,16 GB,512 GB SSD,4.3,61990,intel core i7 processor (13th gen)16 gb ddr4 ramwindows 11 home operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U -,Windows 11 Home,8 GB,512 GB SSD,4.2,28990,amd ryzen 3 quad core processor8 gb lpddr5 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Acer Aspire 3 Intel Celeron Dual Core N4500 -,Windows 11 Home,8 GB,256 GB SSD,4.0,20490,intel celeron dual core processor8 gb lpddr4x ramwindows 11 operating system256 gb ssd35.56 cm (14 inch) display1 year carry-in warranty
DELL 15 Intel Core i3 12th Gen 1215U -,Windows 11 Home,8 GB,512 GB SSD,4.3,31990,"intel core i3 processor (12th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymy dell (dell power manager,dell support assist)1 year onsite warranty"
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 5 125H -,Windows 11 Home,16 GB,512 GB SSD,4.3,69990,intel core ultra 5 processor16 gb lpddr5x ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) touchscreen display1 year carry-in warranty
Acer Aspire 3 Intel Celeron Dual Core N4500 -,Windows 11 Home,8 GB,256 GB SSD,4.0,22990,intel celeron dual core processor8 gb lpddr4x ramwindows 11 operating system256 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U -,Windows 11 Home,8 GB,512 GB SSD,4.2,34990,amd ryzen 5 quad core processor8 gb lpddr5 ramwindows 11 home operating system512 gb ssd39.62 cm (15.6 inch) displaymicrosoft office home 2024 + microsoft 365 basic1 year onsite warranty
HP 15,2024,,,4.2,28990,amd ryzen 3 quad core processor8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
HP Intel Core i5 12th Gen 1235U -,Windows 11 Home,16 GB,512 GB SSD,4.3,46990,intel core i5 processor (12th gen)16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Lenovo IdeaPad 1 AMD Ryzen 3 Dual Core 3250U -,Windows 11 Home,8 GB,512 GB SSD,4.1,33490,amd ryzen 3 dual core processor8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd39.62 cm (15.6 inch) display2 yr warranty
HP Backlit Intel Core i5 12th Gen 1235U -,Windows 11 Home,8 GB,512 GB SSD,4.3,44990,intel core i5 processor (12th gen)8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Acer Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U -,Windows 11 Home,8 GB,512 GB SSD,4.1,33990,amd ryzen 5 hexa core processor8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year carry-in warranty
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 -,Chrome OS,4 GB,32 GB EMMC Storage,3.8,9999,mediatek kompanio 520 processor4 gb lpddr4x ramchrome operating system29.46 cm (11.6 inch) display1 year carry-in warranty
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U -,Windows 11 Home,16 GB,512 GB SSD,4.0,36990,amd ryzen 7 octa core processor16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year carry-in warranty
